N,rv,rg,z,time,interaction_type,idr,mr,id1,m1,id2,m2,r,typer,type1,type2
16.0,1.0,20.0,0.002,12.473001577399998,disrupt1,1801858,7.52759,1296951,7.52695,1801858,31.8898,0.580375,14,14,4
16.0,1.0,8.0,0.0002,7.3682892976,disrupt2,1774457,22.3414,107024,22.3407,1774457,59.566,0.233399,14,14,2
16.0,1.0,8.0,0.0002,10.975032586,disrupt2,1672963,8.31281,226925,8.31278,1672963,37.4573,0.545203,14,14,4
16.0,1.0,8.0,0.0002,11.265125079599999,disrupt2,1654618,7.64652,1244566,7.64643,1654618,36.7685,0.672804,14,14,4
16.0,1.0,8.0,0.0002,11.7340112134,disrupt2,1643041,6.53103,1484163,6.53062,1643041,34.6463,1.54651,14,14,4
16.0,1.0,8.0,0.0002,11.786871289199999,disrupt2,1666363,6.21621,429479,6.21604,1666363,34.595,0.181424,14,14,4
16.0,1.0,8.0,0.0002,11.8573430514,disrupt2,1634737,7.39462,728692,7.39458,1634737,34.9744,1.39126,14,14,4
16.0,1.0,8.0,0.0002,11.999562422399999,disrupt2,1667799,2.26203,62404,2.26201,1667799,34.9192,0.533935,14,14,4
16.0,1.0,8.0,0.0002,12.1362781414,disrupt2,1608961,7.95443,1058998,7.9544,1608961,33.8442,0.826394,14,14,4
16.0,1.0,8.0,0.0002,13.447423163999998,disrupt2,1629956,6.06281,1072913,6.06256,1629956,29.8962,1.82796,14,14,4
16.0,1.0,8.0,0.0002,13.510915294799998,disrupt2,1635032,7.96199,744761,7.96197,1635032,29.9833,0.350879,14,14,4
16.0,1.0,8.0,0.0002,13.539584318399998,disrupt2,1632918,8.42009,185177,8.42008,1632918,29.6226,0.138863,14,14,4
16.0,1.0,8.0,0.0002,13.7216051,disrupt2,1641864,8.31365,1556663,8.31364,1641864,29.1904,2.03711,14,14,4
16.0,1.0,8.0,0.0002,14.2412499152,disrupt2,1676082,8.28116,446597,8.28115,1676082,27.921,0.168595,14,14,4
16.0,1.0,8.0,0.0002,14.7172407634,disrupt2,1620228,7.8806,1570202,7.88057,1620228,27.2442,2.75012,14,14,4
16.0,1.0,8.0,0.0002,14.955799061,disrupt2,1613832,8.22631,350672,8.2263,1613832,26.4456,0.919046,14,14,4
16.0,1.0,8.0,0.0002,16.989748707399997,disrupt2,1615845,7.42439,988089,7.42439,1615845,23.2465,0.398674,14,14,4
16.0,1.0,8.0,0.002,6.328749501199999,disrupt2,1653119,14.0154,571077,14.0145,1653119,70.5511,0.257266,14,14,2
16.0,1.0,8.0,0.002,8.020822292,disrupt2,1637881,9.64127,1395896,9.64126,1637881,51.0436,1.1361,14,14,2
16.0,1.0,8.0,0.002,10.1139862306,disrupt2,1620445,7.9635,73589,7.96348,1620445,39.6075,0.164285,14,14,2
16.0,1.0,8.0,0.002,10.842069356999998,disrupt2,1609579,5.99266,682089,5.99263,1609579,36.1836,0.293648,14,14,2
16.0,1.0,8.0,0.002,11.2675516898,disrupt2,1666363,7.47588,429479,7.47586,1666363,35.3268,0.184191,14,14,2
16.0,1.0,8.0,0.002,12.3265794176,disrupt2,1671493,7.46968,1296951,7.46961,1671493,32.1158,1.34876,14,14,2
16.0,1.0,8.0,0.002,12.6405377476,disrupt2,1677947,6.17176,1429413,6.17127,1677947,29.6816,2.87565,14,14,4
16.0,1.0,8.0,0.02,1675.67190784,disrupt1,1895464,7.64189,508448,7.64082,1895464,0.380019,0.0209875,14,14,7
16.0,1.0,8.0,0.02,13855.8441756,disrupt1,2202291,8.12954,1819793,8.12954,2202291,3.39014,0.0718922,14,14,6
16.0,2.0,2.0,0.0002,7.5785849268,disrupt2,1608021,14.8038,4347,14.8002,1608021,56.7799,0.291611,14,14,2
16.0,2.0,2.0,0.0002,7.6843678378,disrupt2,1668676,7.24031,29137,7.24029,1668676,44.7945,0.197628,14,14,4
16.0,2.0,2.0,0.0002,9.136813198399999,disrupt2,1662615,14.5275,685351,14.4836,1662615,45.0796,0.807327,14,14,4
16.0,2.0,2.0,0.0002,9.780284631599999,disrupt2,1640440,10.8831,930902,10.8821,1640440,41.6883,1.49907,14,14,4
16.0,2.0,2.0,0.0002,10.5624413528,disrupt2,1610587,11.6871,996750,11.6869,1610587,37.9895,0.275492,14,14,4
16.0,2.0,2.0,0.0002,11.0645387016,disrupt2,1672963,8.37259,226925,8.37238,1672963,37.3865,0.303246,14,14,4
16.0,2.0,2.0,0.0002,11.3305880296,disrupt2,1609579,8.13184,682089,8.1316,1609579,35.4802,0.433576,14,14,4
16.0,2.0,2.0,0.0002,11.7299450528,disrupt2,1643041,6.41355,1484163,6.41346,1643041,34.7864,6.13979,14,14,4
16.0,2.0,2.0,0.0002,11.770843061199999,disrupt2,1666363,6.16764,429479,6.16758,1666363,34.6682,0.841505,14,14,4
16.0,2.0,2.0,0.0002,11.770843061199999,disrupt2,1617434,9.93795,1071953,9.93774,1617434,33.2475,4.16442,14,14,4
16.0,2.0,2.0,0.0002,11.919009894399998,disrupt2,1610655,10.7798,851837,10.7796,1610655,32.5453,0.638405,14,14,4
16.0,2.0,2.0,0.0002,11.9860882888,disrupt2,1615806,6.42732,1529452,6.42722,1615806,34.0289,0.887001,14,14,4
16.0,2.0,2.0,0.0002,11.9860882888,disrupt2,1634737,7.50636,728692,7.50625,1634737,34.8401,2.08344,14,14,4
16.0,2.0,2.0,0.0002,12.0377414828,disrupt2,1634509,7.40515,442173,7.40502,1634509,33.0876,1.10364,14,14,4
16.0,2.0,2.0,0.0002,12.165247038399999,disrupt2,1608961,7.95988,1058998,7.95963,1608961,33.8394,1.06698,14,14,4
