#N,#rv,#rg,#z,#t_snapshot[myr],#M1[MSUN],#M2[MSUN],#k1,#k2,#id1,#id2,#sma[AU],#ecc,#bin_star_radius0[RSUN],#bin_star_radius1[RSUN],#snapshot, #roche_lobe1_calc[RSUN], #roche_lobe2_calc[RSUN],#radrol0,#radrol1
4.0,1.0,8.0,0.0002,12028.764626736001,1.2175058,12.813851,12.0,14.0,23928.0,557888.0,0.12101085,0.22129191,0.0047028265,5.4330729e-05,initial.bhinfo0082,5.300908052348806,15.149484595499477,0.000887496,3.58761e-06
4.0,1.0,8.0,0.0002,12185.266652304,1.2175058,12.813851,12.0,14.0,23928.0,557888.0,0.083080259,0.30570921,0.0047028265,5.4330729e-05,initial.bhinfo0083,3.6393498097428822,10.400911190282581,0.00129269,5.22555e-06
4.0,1.0,8.0,0.0002,13649.289786672001,0.94549261,17.350113,11.0,14.0,302060.0,453415.0,0.071802569,0.71262854,0.0086693957,7.356448e-05,initial.bhinfo0097,2.6673240183992672,9.630089770966118,0.0032514,7.6418e-06
4.0,1.0,8.0,0.0002,7096.580640816,1.015823,13.783616,11.0,14.0,227940.0,303045.0,104.57684,0.35713441,0.0078795258,5.8442532e-05,initial.bhinfo0068,4251.247148928917,13530.872362038432,1.85414e-06,4.32077e-09
4.0,1.0,8.0,0.0002,1830.2476488,1.2539684,16.85401,12.0,14.0,158496.0,330889.0,24.943874,0.10929126,0.0041108342,7.1461e-05,initial.bhinfo0054,1016.8744085949411,3223.578726070172,4.04409e-06,2.21763e-08
4.0,1.0,8.0,0.0002,11880.391354895999,1.2175058,12.813851,12.0,14.0,23928.0,676123.0,0.36423966,0.31089483,0.0047028265,5.4330729e-05,initial.bhinfo0081,15.955601887589347,45.599573246861475,0.000294852,1.19191e-06
4.0,1.0,8.0,0.0002,13420.90879032,1.1052819,17.350113,11.0,14.0,138411.0,453415.0,0.27956849,0.44072257,0.0068476195,7.356448e-05,initial.bhinfo0095,10.883019203809885,36.82112977650432,0.000629431,1.99861e-06
4.0,1.0,8.0,0.0002,11715.235329456,1.0634278,11.510707,11.0,14.0,254323.0,456787.0,0.097040677,0.68142008,0.0073361643,4.8805397e-05,initial.bhinfo0080,4.216194537739836,12.194467810616546,0.00174063,4.00371e-06
4.0,1.0,8.0,0.0002,2284.253852016,1.0106038,14.967593,11.0,14.0,168960.0,399060.0,151.71351,0.98571886,0.0079385325,6.3462596e-05,initial.bhinfo0057,6009.168835925623,19842.43523201891,1.32155e-06,3.19949e-09
8.0,0.5,20.0,0.02,510.95408952357,1.3386683,7.6803291,12.0,14.0,444315.0,744892.0,0.036246306,0.62941591,0.0023156732,3.2564595e-05,initial.bhinfo0039,1.8885434515633481,4.1504117323999,0.00122661,7.84896e-06
8.0,0.5,20.0,0.02,493.49869739181,1.3386683,7.6803291,12.0,14.0,444315.0,744892.0,0.036596594,0.63236502,0.0023156732,3.2564595e-05,initial.bhinfo0038,1.906794528198888,4.190521734917644,0.00121487,7.77384e-06
8.0,0.5,20.0,0.02,95.10858120258001,1.0819236,9.3740351,11.0,14.0,119260.0,531296.0,4.8511188,0.2847005,0.0071217942,3.9745909e-05,initial.bhinfo0012,224.8375906795502,591.153897676348,3.16868e-05,6.72589e-08
8.0,0.5,20.0,0.02,110.93319270792,11.052867,1.0248237,14.0,11.0,400104.0,1331258.0,10.354901,0.0,4.6864154e-05,0.0077775442,initial.bhinfo0013,1300.6045442843038,450.3717752876637,3.60457e-08,1.72754e-05
8.0,0.5,20.0,0.02,12633.451854210001,15.140607,1.0177965,14.0,11.0,847303.0,863687.0,0.17341687,0.67181928,6.4196175e-05,0.0078571907,initial.bhinfo0148,22.6931051326357,6.8598178126079,2.82991e-06,0.00114581
8.0,0.5,20.0,0.02,12809.872998252,15.140607,1.0177965,14.0,11.0,847303.0,863687.0,0.043390685,0.76332342,6.4196175e-05,0.0078571907,initial.bhinfo0149,5.678048372583814,1.7163969910439418,1.13101e-05,0.00457939
8.0,0.5,20.0,0.02,5375.9165116041,6.5701336,0.53617994,14.0,11.0,897371.0,1670359.0,3.3221229,0.0,2.7857366e-05,0.013677541,initial.bhinfo0106,424.3191605083776,139.17962053350206,6.56758e-08,9.83083e-05
8.0,0.5,20.0,0.02,5375.9165116041,0.53585135,8.1040836,11.0,14.0,347322.0,921546.0,3.6577671,0.0,0.013682381,3.4361314e-05,initial.bhinfo0106,143.97919365712082,479.6080350520498,9.50648e-05,7.16706e-08
8.0,0.5,20.0,0.02,11119.774962186,1.3379559,7.9976283,12.0,14.0,784756.0,1087084.0,0.43087459,0.74013837,0.0023358558,3.3909944e-05,initial.bhinfo0139,22.1935404799265,49.659622808820835,0.000105288,6.83095e-07
8.0,0.5,20.0,0.02,5015.3414361237,0.53585135,8.1040836,11.0,14.0,347322.0,921546.0,3.6577671,0.0,0.013682381,3.4361314e-05,initial.bhinfo0105,143.97919365712082,479.6080350520498,9.50648e-05,7.16706e-08
8.0,0.5,20.0,0.02,697.8951817596,1.3386683,7.6803291,12.0,14.0,444315.0,744892.0,0.033035678,0.56233136,0.0023156732,3.2564595e-05,initial.bhinfo0048,1.7212599086609093,3.7827762519851054,0.00134582,8.61178e-06
8.0,0.5,20.0,0.02,713.6204749146,1.3386683,7.6803291,12.0,14.0,444315.0,744892.0,0.032796958,0.55984223,0.0023156732,3.2564595e-05,initial.bhinfo0049,1.708821866208881,3.755441430920623,0.00135562,8.67446e-06
8.0,0.5,20.0,0.02,6911.398761597,0.62029745,7.6156839,11.0,14.0,898211.0,1028855.0,0.37634559,0.97789172,0.012507375,3.22905e-05,initial.bhinfo0115,15.75788162361045,48.08089950594658,0.00079401,6.71831e-07
8.0,0.5,20.0,0.02,1065.7783572678002,7.680418,0.64422959,14.0,11.0,1433429.0,6408.0,4.2174362,0.27120985,3.2564972e-05,0.01219541,initial.bhinfo0063,536.76514609313,178.1213583701372,6.0691e-08,6.84917e-05
8.0,0.5,20.0,0.02,2244.6296927307003,1.0798043,7.4460886,11.0,14.0,400458.0,862084.0,0.3112688,0.43739072,0.0071464701,3.1571416e-05,initial.bhinfo0088,15.399559794809136,36.677260079612296,0.000464238,8.61103e-07
8.0,0.5,20.0,0.02,2310.4379723634,1.0798043,7.4460886,11.0,14.0,400458.0,862084.0,0.31126841,0.43739024,0.0071464701,3.1571416e-05,initial.bhinfo0089,15.399540500140603,36.67721412533923,0.000464239,8.61104e-07
8.0,0.5,20.0,0.02,667.96468241184,1.3386683,7.6803291,12.0,14.0,444315.0,744892.0,0.033488186,0.56697868,0.0023156732,3.2564595e-05,initial.bhinfo0047,1.7448369600763012,3.834591035875216,0.00132764,8.49541e-06
8.0,0.5,20.0,0.02,2383.9657637004,1.0798043,7.4460886,11.0,14.0,400458.0,862084.0,0.31126797,0.43738971,0.0071464701,3.1571416e-05,initial.bhinfo0090,15.399518731796618,36.6771622794927,0.00046424,8.61105e-07
8.0,0.5,20.0,0.02,2493.0750380481,1.0798043,7.4460886,11.0,14.0,400458.0,862084.0,0.31126732,0.43738893,0.0071464701,3.1571416e-05,initial.bhinfo0091,15.399486574015734,36.6770856890376,0.000464241,8.61107e-07
8.0,0.5,20.0,0.02,801.5398577703,1.3386683,7.6803291,12.0,14.0,444315.0,744892.0,0.031448612,0.54527828,0.0023156732,3.2564595e-05,initial.bhinfo0052,1.6385689138461872,3.601048013347685,0.00141374,9.04637e-06
8.0,0.5,20.0,0.02,654.9804355564801,1.3386683,7.6803291,12.0,14.0,444315.0,744892.0,0.033677735,0.56334209,0.0023156732,3.2564595e-05,initial.bhinfo0046,1.7547130429714901,3.8562954929711935,0.00132017,8.4476e-06
8.0,0.5,20.0,0.02,7435.447609689,1.2280212,7.8293323,12.0,14.0,407525.0,915370.0,1.4806897,0.52165562,0.0045381956,3.3196369e-05,initial.bhinfo0118,74.89748648743965,172.38385454084434,6.06141e-05,1.92642e-07
8.0,0.5,20.0,0.02,738.0076517451,1.3386683,7.6803291,12.0,14.0,444315.0,744892.0,0.032425347,0.55591495,0.0023156732,3.2564595e-05,initial.bhinfo0050,1.689459796027746,3.712889821543136,0.00137116,8.77387e-06
8.0,0.5,20.0,0.02,612.05858652114,1.3386683,7.6803291,12.0,14.0,444315.0,744892.0,0.034294455,0.56952617,0.0023156732,3.2564595e-05,initial.bhinfo0044,1.7868460420541592,3.9269135008753837,0.00129643,8.29568e-06
8.0,0.5,20.0,0.02,2735.4293340957,1.3317643,6.5244042,12.0,14.0,209705.0,879334.0,0.31481466,0.93233223,0.0025048631,2.7663474e-05,initial.bhinfo0093,17.138343228006796,35.13355790009271,0.000146209,7.87666e-07
8.0,0.5,20.0,0.02,2599.668265491,1.3317643,6.5244042,12.0,14.0,209705.0,879334.0,0.31594176,0.93256778,0.0025048631,2.7663474e-05,initial.bhinfo0092,17.199701954605764,35.25934312594335,0.000145687,7.84856e-07
