N,rv,rg,z,t_snapshot[myr],id,m[MSUN],r,vr,vt,E,J,binflag,m0[MSUN],m1[MSUN],id0,id1,a[AU],e,startype,luminosity[LSUN],radius[RSUN],bin_startype0,bin_startype1,bin_star_lum0[LSUN],bin_star_lum1[LSUN],bin_star_radius0[RSUN],bin_star_radius1[RSUN],bin.Eb,eta,star.phi,rad0,rad1,tb,lum0,lum1,massc0,massc1,radc0,radc1,menv0,menv1,renv0,renv1,tms0,tms1,dmdt0,dmdt1,radrol0,radrol1,ospin0,ospin1,B0,B1,formation0,formation1,bacc0,bacc1,tacc0,tacc1,mass0_0,mass0_1,epoch0,epoch1,ospin,B,formation
16.0,0.5,2.0,0.002,0,-100,15.345718,0.28188925,-0.93555613,0.40002085,-0.99026484,0.11276158,1,12.938948,2.4067699,127179,1658519,0.054128519,0,-100,-100,-100,1,1,12309.834,48.566208,3.5752532,1.321297,-3.1505354e-05,44.76086,-1.50790582064,3.57525,1.3213,1.17418,12309.8,48.5662,0,0,0,0,1e-10,1e-10,1e-10,1e-10,17.5829,517.219,-0.00041301,4.15046e-06,0.583112,0.460251,2844.79,5756.64,0,0,0,0,0,0,0,0,12.9389,2.40677,0,0,-100,-100,-100
16.0,0.5,2.0,0.002,0,-100,1.9917181,0.28492522,-1.0853828,0.60327245,-0.73392008,0.17188753,1,1.1244183,0.86729982,130347,1663638,0.043413994,0.39608805,-100,-100,-100,1,1,2.229497,0.67428486,1.0263265,0.80612013,-1.2301112e-06,3.1186614,-1.50491676795,1.02633,0.80612,2.34111,2.2295,0.674285,0,0,0,0,0.0180633,0.0475031,0.224369,0.237486,4469.92,11102.2,-0,0,0.273862,0.242187,1301.43,743.351,0,0,0,0,0,0,0,0,1.12442,0.8673,0,0,-100,-100,-100
16.0,0.5,2.0,0.002,0,141251,1.7455316,0.29501987,0.39020387,0.57958105,-1.2508508,0.17098793,-100,-100,-100,-100,-100,-100,-100,1,14.159267,1.1360606,-100,-100,-100,-100,-100,-100,-100,-100,-1.49493743663,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,3792.5,0,0
16.0,0.5,2.0,0.002,0,-100,8.460287,0.3036122,-0.40321242,1.0701148,-0.83251718,0.3248999,1,4.6683638,3.7919232,150826,1608110,0.040115694,0,-100,-100,-100,1,1,503.19499,247.44224,1.9376341,1.7145013,-2.4165005e-05,47.162136,-1.48638013584,1.93763,1.7145,1.00895,503.195,247.442,0,0,0,0,1e-10,1e-10,1e-10,1e-10,109.043,172.461,-5.50932e-06,-8.54434e-07,0.565942,0.55067,5709.02,6209.3,0,0,0,0,0,0,0,0,4.66836,3.79192,0,0,-100,-100,-100
16.0,0.5,2.0,0.002,0,152404,3.611513,0.30500062,-0.95742803,0.50834934,-0.89744218,0.15504686,-100,-100,-100,-100,-100,-100,-100,1,208.89876,1.6663262,-100,-100,-100,-100,-100,-100,-100,-100,-1.48498592294,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,6284.69,0,0
16.0,0.5,2.0,0.002,0,155756,7.1453648,0.30792921,0.038644105,0.41476795,-1.3952737,0.12771917,-100,-100,-100,-100,-100,-100,-100,1,2026.815,2.4970562,-100,-100,-100,-100,-100,-100,-100,-100,-1.48203657537,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,4387.84,0,0
16.0,0.5,2.0,0.002,0,157555,2.8781608,0.30951483,0.20531286,0.30891294,-1.4116448,0.095613136,-100,-100,-100,-100,-100,-100,-100,1,93.454571,1.4611324,-100,-100,-100,-100,-100,-100,-100,-100,-1.4804351049,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,6283.71,0,0
16.0,0.5,2.0,0.002,0,165394,1.5542582,0.31629197,-0.39058226,0.55739081,-1.2419485,0.17629824,-100,-100,-100,-100,-100,-100,-100,1,8.8724454,1.105584,-100,-100,-100,-100,-100,-100,-100,-100,-1.473568055,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,2963.05,0,0
16.0,0.5,2.0,0.002,0,167955,3.4799849,0.3185117,0.14862889,0.23370965,-1.4329523,0.074439259,-100,-100,-100,-100,-100,-100,-100,1,183.4977,1.6306594,-100,-100,-100,-100,-100,-100,-100,-100,-1.4713076375,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,6327.03,0,0
16.0,0.5,2.0,0.002,0,168324,2.3443028,0.31881985,-0.26124151,0.084376039,-1.4333097,0.026900756,-100,-100,-100,-100,-100,-100,-100,1,44.033943,1.3024907,-100,-100,-100,-100,-100,-100,-100,-100,-1.47099290937,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,5637.86,0,0
