#N,#rv,#rg,#z,#t_snapshot[myr],#M1[MSUN],#M2[MSUN],#k1,#k2,#id1,#id2,#sma[AU],#ecc,#snapshot
16.0,0.5,2.0,0.02,152.89634847864,12.452164,0.91344412,14.0,11.0,1684350.0,2155785.0,0.067119041,0.52612102,initial.bhinfo0013
16.0,0.5,2.0,0.02,163.06773225504,12.452164,0.91344412,14.0,11.0,1684350.0,2155785.0,0.067095314,0.53152826,initial.bhinfo0014
16.0,0.5,2.0,0.02,168.73898440847998,12.452164,0.91344412,14.0,11.0,1684350.0,2155785.0,0.06708188,0.5314571,initial.bhinfo0015
16.0,0.5,2.0,0.02,172.0979525676,12.452164,0.91344412,14.0,11.0,1684350.0,2155785.0,0.067073923,0.53141493,initial.bhinfo0016
16.0,0.5,2.0,0.02,175.37707059456,12.452164,0.91344412,14.0,11.0,1684350.0,2155785.0,0.067066154,0.53137376,initial.bhinfo0017
16.0,0.5,2.0,0.02,178.73995696464,12.452164,0.91344412,14.0,11.0,1684350.0,2155785.0,0.067058187,0.53133153,initial.bhinfo0018
16.0,0.5,2.0,0.02,182.0836856712,12.452164,0.91344412,14.0,11.0,1684350.0,2155785.0,0.067050264,0.53128953,initial.bhinfo0019
16.0,0.5,2.0,0.02,185.4954037404,12.452164,0.91344412,14.0,11.0,1684350.0,2155785.0,0.06704218,0.53124667,initial.bhinfo0020
16.0,0.5,2.0,0.02,188.90798859216,12.452164,0.91344412,14.0,11.0,1684350.0,2155785.0,0.067034093,0.53120378,initial.bhinfo0021
16.0,0.5,2.0,0.02,192.24291680232,12.452164,0.91344412,14.0,11.0,1684350.0,2155785.0,0.06702619,0.53116187,initial.bhinfo0022
16.0,0.5,2.0,0.02,195.90762039768,12.452164,0.91344412,14.0,11.0,1684350.0,2155785.0,0.067017505,0.53111579,initial.bhinfo0023
16.0,0.5,2.0,0.02,199.14250597991997,12.452164,0.91344412,14.0,11.0,1684350.0,2155785.0,0.067009837,0.53107511,initial.bhinfo0024
16.0,0.5,2.0,0.02,202.21978749648,12.452164,0.91344412,14.0,11.0,1684350.0,2155785.0,0.067002544,0.53103641,initial.bhinfo0025
16.0,0.5,2.0,0.02,205.50048872832,12.452164,0.91344412,14.0,11.0,1684350.0,2155785.0,0.066994767,0.53099514,initial.bhinfo0026
16.0,0.5,2.0,0.02,209.30280732216,12.452164,0.91344412,14.0,11.0,1684350.0,2155785.0,0.066985753,0.53094729,initial.bhinfo0027
16.0,0.5,2.0,0.02,212.58474681479998,12.452164,0.91344412,14.0,11.0,1684350.0,2155785.0,0.066977973,0.53090598,initial.bhinfo0028
16.0,0.5,2.0,0.02,215.88584397096,12.452164,0.91344412,14.0,11.0,1684350.0,2155785.0,0.066970146,0.53086443,initial.bhinfo0029
16.0,0.5,2.0,0.02,219.08498803967998,12.452164,0.91344412,14.0,11.0,1684350.0,2155785.0,0.066962561,0.53082414,initial.bhinfo0030
16.0,0.5,2.0,0.02,222.18798115728,12.452164,0.91344412,14.0,11.0,1684350.0,2155785.0,0.066955204,0.53078506,initial.bhinfo0031
16.0,0.5,2.0,0.02,225.22030496208,12.452164,0.91344412,14.0,11.0,1684350.0,2155785.0,0.066948013,0.53074686,initial.bhinfo0032
16.0,0.5,2.0,0.02,228.33676858824,12.452164,0.91344412,14.0,11.0,1684350.0,2155785.0,0.066940623,0.5307076,initial.bhinfo0033
16.0,0.5,2.0,0.02,231.38221795752003,12.452164,0.91344412,14.0,11.0,1684350.0,2155785.0,0.066933401,0.53066922,initial.bhinfo0034
16.0,0.5,2.0,0.02,234.61866021048002,12.452164,0.91344412,14.0,11.0,1684350.0,2155785.0,0.066925725,0.53062842,initial.bhinfo0035
