N,rv,rg,z,t_snapshot[myr],id,m[MSUN],r,vr,vt,E,J,binflag,m0[MSUN],m1[MSUN],id0,id1,a[AU],e,startype,luminosity[LSUN],radius[RSUN],bin_startype0,bin_startype1,bin_star_lum0[LSUN],bin_star_lum1[LSUN],bin_star_radius0[RSUN],bin_star_radius1[RSUN],bin.Eb,eta,star.phi,rad0,rad1,tb,lum0,lum1,massc0,massc1,radc0,radc1,menv0,menv1,renv0,renv1,tms0,tms1,dmdt0,dmdt1,radrol0,radrol1,ospin0,ospin1,B0,B1,formation0,formation1,bacc0,bacc1,tacc0,tacc1,mass0_0,mass0_1,epoch0,epoch1,ospin,B,formation
16.0,0.5,20.0,0.02,0,1204265.0,4.4624693,1.308505,-0.15960881,0.53708025,-0.55743587,0.70277217,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,1.0,352.07309,2.470729,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-0.714400953953,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,4456.11,0.0,0.0
16.0,0.5,20.0,0.02,0,1205524.0,2.736488,1.3106457,-0.54406858,0.57690579,-0.39904313,0.75611908,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,1.0,56.019353,1.8826247,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-0.713458583238,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,4664.54,0.0,0.0
16.0,0.5,20.0,0.02,0,1206772.0,3.5670156,1.312778,-0.20864189,0.39590152,-0.61238736,0.51973082,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,1.0,154.24112,2.1782859,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-0.712522088965,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,4784.86,0.0,0.0
16.0,0.5,20.0,0.02,0,1207052.0,4.2906912,1.3132557,-0.018006615,0.28170408,-0.67247191,0.36994948,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,1.0,305.23036,2.4164807,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-0.712312620482,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,4530.95,0.0,0.0
16.0,0.5,20.0,0.02,0,1208484.0,1.0763712,1.3157086,-0.10686373,0.25163491,-0.67386841,0.33107822,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,1.0,0.995629,0.97407187,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-0.711238407527,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1202.48,0.0,0.0
16.0,0.5,20.0,0.02,0,1212753.0,2.3714035,1.3230107,-0.59589718,0.2398591,-0.50174427,0.31733616,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,1.0,31.806039,1.7460647,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-0.708057194255,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,4271.84,0.0,0.0
16.0,0.5,20.0,0.02,0,1215041.0,3.4049912,1.3268867,-0.60576913,0.51872012,-0.38836514,0.68828284,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,1.0,129.52322,2.1225779,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-0.706378541862,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,4813.2,0.0,0.0
16.0,0.5,20.0,0.02,0,1223755.0,2.7960847,1.3421711,-0.025134027,0.19971187,-0.67956705,0.26804749,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,1.0,60.924686,1.9046524,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-0.699825329643,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,4702.7,0.0,0.0
16.0,0.5,20.0,0.02,0,1233308.0,2.0185276,1.3595797,-0.69823382,0.44204838,-0.35102064,0.601,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,1.0,16.509976,1.6166857,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-0.692489252836,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,3576.26,0.0,0.0
16.0,0.5,20.0,0.02,0,1234831.0,2.5986325,1.362355,0.26203177,0.3657827,-0.59010303,0.49832588,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,1.0,45.742915,1.8312992,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-0.691331851091,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,4550.49,0.0,0.0
16.0,0.5,20.0,0.02,0,1239451.0,2.2689273,1.3708668,-0.18415414,0.29218647,-0.62816063,0.40054872,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,1.0,26.628485,1.7077457,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-0.687803469751,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,4104.38,0.0,0.0
16.0,0.5,20.0,0.02,0,1239485.0,1.6969179,1.3709193,-0.16065413,0.2489569,-0.64388716,0.34129982,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,1.0,7.9371165,1.511519,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-0.687781804823,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,2674.49,0.0,0.0
16.0,0.5,20.0,0.02,0,1239846.0,1.7708524,1.3715913,-0.76512605,0.39594447,-0.31640964,0.54307399,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,1.0,9.5283662,1.5346346,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-0.687504590657,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,2897.96,0.0,0.0
16.0,0.5,20.0,0.02,0,1241104.0,4.0345056,1.3738839,0.39200638,0.70684111,-0.35991363,0.97111761,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,1.0,243.60967,2.3340227,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-0.686560311263,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,4636.09,0.0,0.0
16.0,0.5,20.0,0.02,0,1244826.0,1.7440525,1.3811518,-0.44686986,0.42775843,-0.49224676,0.59079933,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,1.0,8.9276281,1.5262598,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-0.683581733993,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,2817.61,0.0,0.0
16.0,0.5,20.0,0.02,0,1245029.0,1.2572021,1.3815853,-0.066070485,0.49985408,-0.5562951,0.69059105,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,1.0,2.0748557,1.2183016,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-0.68340480296,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1519.77,0.0,0.0
16.0,0.5,20.0,0.02,0,1250390.0,3.1195149,1.3917406,0.20422326,0.080815461,-0.65516305,0.11247416,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,1.0,92.901012,2.0220972,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-0.679282191301,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,4814.22,0.0,0.0
16.0,0.5,20.0,0.02,0,1250893.0,3.1879715,1.3926396,-0.12078384,0.16863744,-0.65740566,0.23485117,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,1.0,100.9206,2.0464674,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-0.678919323351,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,4820.9,0.0,0.0
